Date,Close,High,Low,Open,Volume,MA10,MA50,Returns,Volatility
2021-12-30,57794.3203125,58010.03125,57578.98828125,57755.3984375,7300,57144.14375,58841.6984375,-0.00021049486159407937,668.9030426345361
2021-12-31,58253.8203125,58409.30078125,57846.51953125,57849.76171875,7000,57268.351953125,58781.575625,0.007950608252081492,751.7723955192766
2022-01-03,59183.21875,59266.390625,58306.44921875,58310.08984375,8200,57604.47265625,58746.77,0.015954291624382444,783.9713088211688
2022-01-04,59855.9296875,59937.328125,59084.3984375,59343.7890625,9100,57958.164453125,58727.456171875,0.01136658248247091,924.7924203993575
2022-01-05,60223.1484375,60332.71875,59661.37890625,59921.98046875,8600,58287.4234375,58712.578125,0.006135043794611494,1089.7111261853695
2022-01-06,59601.83984375,59781.859375,59290.578125,59731.75,6000,58516.079296875,58677.6096875,-0.010316773696991244,1102.8764453225776
2022-01-07,59744.6484375,60130.1796875,59401.44140625,59776.1015625,8300,58778.11328125,58649.63609375,0.002396043379271129,1045.2414094558255
2022-01-10,60395.62890625,60427.359375,59987.1796875,60070.390625,7600,59075.65234375,58657.8546875,0.010896046520903147,1039.2306866529832
2022-01-11,60616.890625,60689.25,60281.51953125,60342.69921875,6500,59347.593359375,58684.05390625,0.0036635386162375827,1052.3946816395498
2022-01-12,61150.0390625,61218.19140625,60850.9296875,61014.37109375,6200,59681.9484375,58704.28546875,0.008795377526014336,1039.4273830496072
2022-01-13,61235.30078125,61348.5703125,60949.80859375,61259.98828125,9300,60026.046484375,58728.4103125,0.0013943035860182196,906.1157927360325
2022-01-14,61223.03125,61324.58984375,60757.03125,61040.3203125,6900,60322.967578125,58757.4325,-0.00020036696306646729,730.2798576446517
2022-01-17,61308.91015625,61385.48046875,61107.6015625,61219.640625,7600,60535.53671875,58782.25828125,0.0014027222190178268,668.4124653918033
2022-01-18,60754.859375,61475.1484375,60662.5703125,61430.76953125,12500,60625.4296875,58786.44328125,-0.009037035234160329,625.9576012739335
2022-01-19,60098.8203125,60870.171875,59949.21875,60845.58984375,7000,60612.996875,58779.750703125,-0.010798133174018232,635.9898452022366
2022-01-20,59464.62109375,60045.48046875,59068.30859375,60045.48046875,11800,60599.275,58761.98671875,-0.010552606780837137,661.2104424952914
2022-01-21,59037.1796875,59329.62890625,58620.9296875,59039.37109375,7600,60528.528125,58744.336484375,-0.007188163287479954,788.4229860342624
2022-01-24,57491.51171875,59023.96875,56984.01171875,59023.96875,10800,60238.11640625,58680.432890625,-0.026181263687250045,1245.2984483773253
2022-01-25,57858.1484375,57966.9296875,56409.62890625,57158.62890625,10400,59962.2421875,58623.221640625,0.006377232182441128,1442.0905275773923
