Date,Close,High,Low,Open,Volume,MA10,MA50,Returns,Volatility
2021-12-29,3430.526123046875,3453.970729036993,3421.519725686558,3428.251345228276,1456923,3379.0736328125,3295.594013671875,-0.0031971756968961484,50.41775765857203
2021-12-30,3466.78466796875,3472.587789274356,3416.8778247405426,3418.131389616324,1966475,3393.2007568359377,3297.4435986328126,0.01056938312706146,53.44397520800118
2021-12-31,3471.05517578125,3491.1570933711905,3464.5092108943027,3475.1869520043474,1207141,3407.499609375,3299.848408203125,0.0012318353233637946,53.20882681770178
2022-01-03,3544.778076171875,3556.152192191286,3477.2297545055785,3481.872250840032,2346158,3431.7195068359374,3305.145498046875,0.021239334051793568,55.22845826215427
2022-01-04,3606.987548828125,3611.0728549533496,3539.160631635427,3557.1736535324817,2488606,3457.3878662109373,3312.311650390625,0.017549609966960755,70.67404927147021
2022-01-05,3584.8896484375,3593.2926131928325,3539.810958043636,3588.6501162765626,1733031,3478.7619140625,3319.1454150390623,-0.006126414380832723,73.94027896555738
2022-01-06,3535.21484375,3560.7950464610685,3502.299586766924,3539.439561175904,1810293,3492.201953125,3325.1778662109373,-0.013856717935278984,70.32406241048476
2022-01-07,3577.9716796875,3588.556479930692,3524.954284508714,3546.8669563789413,2460591,3509.1563232421877,3331.9326806640624,0.012094550919045544,68.29114494189332
2022-01-10,3602.438232421875,3693.5703513986336,3584.9359292986737,3693.5703513986336,3937092,3526.217529296875,3340.441455078125,0.006838106873029215,68.13698542609474
2022-01-11,3635.91015625,3644.359590177415,3580.2931413309843,3580.2931413309843,1906106,3545.655615234375,3350.06349609375,0.009291463633402053,69.01354367449458
2022-01-12,3583.914306640625,3648.073698035755,3562.2339843033023,3644.359700888353,3203744,3560.99443359375,3357.185087890625,-0.014300642033191036,56.491844942188564
2022-01-13,3619.197021484375,3642.502442596355,3581.221494033684,3637.8599464931226,6684507,3576.2356689453127,3364.867490234375,0.009844742877466395,48.202196414204394
2022-01-14,3684.424560546875,3692.641870368933,3584.053918034292,3600.5812516016404,3348123,3597.572607421875,3373.7049462890627,0.018022654935692772,43.46175373640481
2022-01-17,3731.777587890625,3753.9223851898487,3678.992542699661,3707.218828605124,3442604,3616.27255859375,3383.184912109375,0.012852217915060749,56.496950610925765
2022-01-18,3705.269287109375,3752.715463918331,3695.427104148189,3745.519594557238,2389041,3626.100732421875,3392.2442822265625,-0.007103397819652413,62.88916628762964
2022-01-19,3641.136962890625,3731.6852999730704,3637.277010355107,3731.6852999730704,3102539,3631.7254638671875,3399.9662353515623,-0.017308411143520996,61.288737294512124
2022-01-20,3559.192626953125,3646.113318687426,3544.729045285149,3636.812009200979,6176776,3634.1232421875,3406.4466845703123,-0.02250515066383163,57.441760940070424
2022-01-21,3565.656494140625,3582.4454008377843,3507.6164218761846,3541.008027440553,3112358,3632.8917236328125,3412.983994140625,0.0018161049049580935,58.89306159518025
