Date,Close,High,Low,Open,Volume,MA10,MA50,Returns,Volatility
2021-12-29,1097.532470703125,1105.0701530756053,1088.2130774203813,1092.2789308424592,15425312,1078.4940307617187,1128.7635229492187,0.0017096272009988756,18.72731587123942
2021-12-30,1077.7060546875,1098.6517018375448,1071.538881662976,1096.3903970062242,29333171,1076.4474487304688,1125.357861328125,-0.018064537081917353,17.409861860424993
2021-12-31,1081.84033203125,1089.0353263516697,1078.1171665569657,1084.0559610763128,9477290,1077.7128662109376,1122.3222314453126,0.003836182719553216,17.28285480528191
2022-01-03,1098.1490478515625,1100.0221098879913,1079.7388816851078,1080.401298695862,5421611,1083.491748046875,1120.3245166015624,0.015074974871468694,12.368135265235612
2022-01-04,1122.93212890625,1124.2569630238015,1098.2176408638388,1103.6540041389808,10847728,1090.20029296875,1118.7776928710937,0.022568048575167143,13.816194272190982
2022-01-05,1128.185546875,1131.5661452055806,1111.4427823152932,1124.7137181859252,11643813,1094.928466796875,1117.5698364257812,0.004678304087591512,17.797888865443994
2022-01-06,1103.927978515625,1121.0591071061665,1100.5017044635504,1119.7799486820695,14447422,1097.2697143554688,1115.3354858398438,-0.021501399682496314,17.221843090915712
2022-01-07,1112.836181640625,1122.909222037778,1101.6666852015849,1110.5292013946805,13112115,1100.1568725585937,1113.5867431640625,0.00806955100184914,17.1634589736693
2022-01-10,1113.7498779296875,1122.429692222141,1103.7225125598666,1120.1455496454307,9246731,1103.2518920898438,1112.1194091796874,0.0008210519249252091,16.46196022091799
2022-01-11,1121.7672119140625,1130.629607277629,1112.3793054937332,1112.8361823172836,16205164,1105.8626831054687,1111.3820849609374,0.00719850492758578,17.178709535695397
2022-01-12,1151.7122802734375,1153.47115333556,1126.0841609074216,1128.9622069773336,14800442,1111.2806640625,1111.229501953125,0.026694547711267003,22.09881971985382
2022-01-13,1158.1993408203125,1160.8033333822812,1145.9106709564105,1151.780952286016,11856712,1119.3299926757813,1111.544716796875,0.00563253571051181,23.145461325830652
2022-01-14,1159.8895263671875,1172.8177748769797,1153.8822185126548,1158.0622607657344,19930176,1127.134912109375,1112.0508813476563,0.0014593218000606978,22.240715576624883
2022-01-17,1165.942626953125,1171.767232999648,1158.976009999694,1159.432886863414,8036453,1133.9142700195312,1112.5387768554688,0.005218687166609781,22.750107037902872
2022-01-18,1152.0321044921875,1170.556459466217,1149.2682474814246,1167.084630688477,6215029,1136.824267578125,1112.72013671875,-0.011930709229912018,23.048436863750513
2022-01-19,1151.9407958984375,1161.2600682274417,1146.1847036746883,1155.778150435964,9755485,1139.1997924804687,1112.7192236328126,-7.925872325431627e-05,23.282145577474115
2022-01-20,1131.7718505859375,1146.618838379736,1121.5159859403882,1142.0962286365416,16494486,1141.9841796875,1112.0572778320313,-0.01750866484138147,20.033499897941645
2022-01-21,1131.95458984375,1143.1012499527574,1120.1456334643224,1120.1456334643224,13338594,1143.8960205078124,1111.35650390625,0.00016146298188801644,17.721630200026855
2022-01-24,1086.2943115234375,1144.2431066416614,1075.8785844312497,1130.6523216006306,21868937,1141.1504638671875,1109.3903076171875,-0.04033755305203124,23.945056890560807
2022-01-25,1084.170166015625,1091.2052958438017,1052.9914943305807,1073.3432364243356,24510205,1137.3907592773437,1107.5214184570314,-0.0019554051653216664,29.608523259312612
2022-01-27,1068.112548828125,1076.335486022342,1055.7553656542316,1067.153240392027,20020431,1129.0307861328124,1105.8786596679688,-0.014810974965777213,36.18694487734987
2022-01-28,1067.084716796875,1085.3806944826188,1063.681401285532,1080.4013291145584,14667727,1119.9193237304687,1104.7078051757812,-0.0009622881337529865,39.35843587188158
